(training) gnorm,(training) pnorm,epoch,lr,step,train_epoch_loss,train_epoch_r2,train_epoch_time,train_step_loss,val_epoch_loss,val_epoch_r2,val_epoch_time
,,0.0,,16,4095.363525390625,-4347.97216796875,2.687974214553833,,37.46664047241211,-40.32911682128906,0.3327138423919678
,,1.0,,33,38.655242919921875,-37.07728958129883,2.2589354515075684,,15.48999309539795,-16.048809051513672,0.33236265182495117
9.999999046325684,174.3010711669922,2,0.0009607999818399549,49,,,,5.695211410522461,,,
,,2.0,,50,6.012402534484863,-5.050690650939941,2.2595086097717285,,2.1472151279449463,-1.3909687995910645,0.33263659477233887
,,3.0,,67,2.3560166358947754,-1.365082859992981,2.2596957683563232,,1.3078519105911255,-0.3962349593639374,0.33256006240844727
,,4.0,,84,1.5394165515899658,-0.5488098859786987,2.2808430194854736,,1.0125207901000977,-0.09615293890237808,0.33252620697021484
9.999998092651367,174.261474609375,5,0.0009208000265061855,99,,,,1.2116070985794067,,,
,,5.0,,101,1.1827349662780762,-0.18810659646987915,2.259958505630493,,1.2192516326904297,-0.31983885169029236,0.3322927951812744
,,6.0,,118,1.1628707647323608,-0.15137240290641785,2.260737895965576,,1.1776976585388184,-0.3017878830432892,0.3323347568511963
,,7.0,,135,1.1438071727752686,-0.13531441986560822,2.259552478790283,,1.001796841621399,-0.08241530507802963,0.33258056640625
9.999999046325684,174.2733154296875,8,0.0008808000129647553,149,,,,1.078612208366394,,,
,,8.0,,152,1.057607889175415,-0.06687328964471817,2.259406805038452,,1.1761068105697632,-0.28987082839012146,0.3324756622314453
,,9.0,,169,1.143401026725769,-0.16791734099388123,2.260514259338379,,1.7238000631332397,-0.9013832211494446,0.3324437141418457
,,10.0,,186,1.1613843441009521,-0.1717943251132965,2.260056972503662,,1.0363894701004028,-0.13362295925617218,0.33263659477233887
