(training) gnorm,(training) pnorm,epoch,lr,step,train_epoch_loss,train_epoch_r2,train_epoch_time,train_step_loss,val_epoch_loss,val_epoch_r2,val_epoch_time
,,0.0,,16,2.966677259384023e+23,-5.537747839742189e+20,2.5877933502197266,,8.268263039400849e+23,-1.6578531321411168e+21,0.33400464057922363
,,1.0,,33,5.271370409540857e+24,-9.939497294902306e+21,2.268676519393921,,1.8894477681259107e+25,-3.676661273871682e+22,0.33324193954467773
0.0,173.61822509765625,2,0.0009607999818399549,49,,,,2.850940976177878e+26,,,
,,2.0,,50,8.410762523280148e+25,-1.4802401531483806e+23,2.268611192703247,,1.3360375368731025e+26,-2.587635579770072e+23,0.3334968090057373
,,3.0,,67,2.2399565889381848e+26,-4.129687367588135e+23,2.2673184871673584,,3.771723488272823e+26,-6.737612023967481e+23,0.33369922637939453
,,4.0,,84,2.1623848941617436e+26,-3.895132332947306e+23,2.6618664264678955,,1.5620896572430022e+26,-2.8473731222312915e+23,0.3335840702056885
0.0,173.61318969726562,5,0.0009208000265061855,99,,,,1.4342657849828192e+27,,,
,,5.0,,101,3.3254628071206936e+26,-6.118652423276428e+23,2.267411708831787,,2.091403298705635e+26,-3.825702319075971e+23,0.3339850902557373
,,6.0,,118,1.9810157685592684e+26,-3.58295649772085e+23,2.2677793502807617,,2.9822639006409384e+26,-5.583187037661033e+23,0.3335857391357422
,,7.0,,135,2.3561845427257288e+26,-4.354190728148644e+23,2.266849994659424,,2.017463398902426e+26,-3.88976368190351e+23,0.33406591415405273
0.0,173.60543823242188,8,0.0008808000129647553,149,,,,1.1025434465415462e+26,,,
,,8.0,,152,2.0773406078284834e+26,-4.326829739116502e+23,2.646982431411743,,1.3980696022081304e+26,-2.656775201537434e+23,0.3334996700286865
,,9.0,,169,2.5101216996836313e+26,-4.6379697464286625e+23,2.2641525268554688,,2.6201366055997092e+26,-4.6936410832943954e+23,0.33319973945617676
